temperature,city,pression,date
287.98,Paris,1013,2025-05-04 11:45
286.13,London,1018,2025-05-04 11:45
278.66,Washington,1019,2025-05-04 11:45
287.68,Paris,1013,2025-05-04 11:38
285.86,London,1018,2025-05-04 11:38
275.78,Washington,1019,2025-05-04 11:38
295.0,Paris,1011,2025-05-03 08:53
289.65,London,1013,2025-05-03 08:53
282.96,Washington,1011,2025-05-03 08:53
289.98,Paris,1011,2025-05-03 06:11
284.31,London,1014,2025-05-03 06:11
289.77,Washington,1009,2025-05-03 06:11
289.98,Paris,1011,2025-05-03 06:10
284.31,London,1014,2025-05-03 06:10
289.77,Washington,1009,2025-05-03 06:10
289.98,Paris,1011,2025-05-03 06:09
284.31,London,1014,2025-05-03 06:09
289.77,Washington,1009,2025-05-03 06:09
292.08,Paris,1012,2025-05-03 01:32
285.49,London,1015,2025-05-03 01:32
299.23,Washington,1007,2025-05-03 01:32
292.08,Paris,1012,2025-05-03 01:31
285.49,London,1015,2025-05-03 01:31
299.23,Washington,1007,2025-05-03 01:31
292.08,Paris,1012,2025-05-03 01:30
285.49,London,1015,2025-05-03 01:30
299.23,Washington,1007,2025-05-03 01:30
292.08,Paris,1012,2025-05-03 01:29
285.56,London,1015,2025-05-03 01:29
299.23,Washington,1007,2025-05-03 01:29
292.08,Paris,1012,2025-05-03 01:28
285.56,London,1015,2025-05-03 01:28
299.23,Washington,1007,2025-05-03 01:28
292.08,Paris,1012,2025-05-03 01:27
285.56,London,1015,2025-05-03 01:27
299.23,Washington,1007,2025-05-03 01:27
292.08,Paris,1012,2025-05-03 01:26
285.56,London,1015,2025-05-03 01:26
299.23,Washington,1007,2025-05-03 01:26
292.08,Paris,1012,2025-05-03 01:25
285.56,London,1015,2025-05-03 01:25
299.23,Washington,1007,2025-05-03 01:25
292.14,Paris,1012,2025-05-03 01:24
285.56,London,1015,2025-05-03 01:24
299.4,Washington,1007,2025-05-03 01:24
292.14,Paris,1012,2025-05-03 01:23
285.56,London,1015,2025-05-03 01:23
299.4,Washington,1007,2025-05-03 01:23
292.14,Paris,1012,2025-05-03 01:22
285.56,London,1015,2025-05-03 01:22
299.4,Washington,1007,2025-05-03 01:22
292.14,Paris,1012,2025-05-03 01:21
285.56,London,1015,2025-05-03 01:21
299.4,Washington,1007,2025-05-03 01:21
292.14,Paris,1012,2025-05-03 01:20
285.56,London,1015,2025-05-03 01:20
298.7,Washington,1007,2025-05-03 01:20
292.14,Paris,1012,2025-05-03 01:19
285.56,London,1015,2025-05-03 01:19
298.7,Washington,1007,2025-05-03 01:19
292.14,Paris,1012,2025-05-03 01:18
285.56,London,1015,2025-05-03 01:18
298.7,Washington,1007,2025-05-03 01:18
292.14,Paris,1012,2025-05-03 01:17
285.56,London,1015,2025-05-03 01:17
298.7,Washington,1007,2025-05-03 01:17
292.14,Paris,1012,2025-05-03 01:16
285.56,London,1015,2025-05-03 01:16
299.4,Washington,1007,2025-05-03 01:16
292.14,Paris,1012,2025-05-03 01:15
285.56,London,1015,2025-05-03 01:15
299.4,Washington,1007,2025-05-03 01:15
292.14,Paris,1012,2025-05-03 01:14
285.56,London,1015,2025-05-03 01:14
299.4,Washington,1007,2025-05-03 01:14
292.14,Paris,1012,2025-05-03 01:13
285.56,London,1015,2025-05-03 01:13
